Name,Price
Acer Aspire 3 A315 / AMD Ryzen 3 3250U / 4 GB Ram / 128 GB SSD+1TB HDD / 15.6″ Inch FHD Display / Silver,"Rs. 59,998"
"Vivobook Go E1504 Intel Core i3 N305 Thin and Light Laptop - 8GB DDR4 RAM - 256GB NVMe SSD - 15.6"" FHD Display - Silver","Rs. 60,000"
HP Envy x360 14-ES0013dx (13th Gen Intel Core i5-1335U Processor | 8GB RAM | 512GB SSD | 14″ FHD 2-in-1 Touch Screen Display | Fingerprint Reader),"Rs. 97,999"
Laptop Lenovo IdeaPad 1 Intel Celeron N4020,"Rs. 42,000"
"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD 120Hz Display Laptop","Rs. 50,500"
"Acer Swift Go 14 Ultra5 125H 16GB RAM 512ssd 14"" Oled 2.8K Laptop","Rs. 114,990"
ASUS Zen Book 14 UX425EA Core i5-11th Gen/ 8GB RAM / 512GB SSD / 14'' FHD,"Rs. 135,000"
"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD","Rs. 40,000"
"Dell Vostro 15 3520 Intel Core i7 - 1225U Processor | 8GB RAM | 512GB SSD | Intel Graphics | 15.6"" FHD (1920 x 1080) Display | 2 Year Warranty","Rs. 88,500"
Dell Inspiron 7391 I5 10th Gen / 8GB RAM / 256GB SSD / 13.3'' FHD Display,"Rs. 118,000"
"Acer Aspire 14 Intel Core 5-120U | 8 GB DDR5 RAM | 512 GB SSD | 14"" (1920X1200) IPS | Win 11 | 2 Year Warranty","Rs. 83,999"
"Dell Latitude 5410 Business Laptop, 14"" FHD(1920x1080), Intel Core i5-10210U 10th Gen 1.6GHz Quad-core (4 Core) - 8GB RAM - 256GB SSD","Rs. 41,999"
"Dell Vostro 3510 i3 11th Gen / 4GB RAM / 1TB HDD / 15.6"" HD Display","Rs. 32,500"
"Lenovo V14 G2 ITL 82KA00KNUS 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB RAM - 256 GB SSD - Black","Rs. 42,000"
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home","Rs. 37,400"
HP Victus 15 i5 12450H 8GB 512ssd RTX3050 Nvidia Graphic Laptop,"Rs. 96,490"
"Refub* Lenovo ThinkPad T490 14.0"" FHD (1920x1080) 250 nits IPS Anti-Glare Display - Intel Core i5-8265U Processor, 8GB RAM, 256GB PCIe-NVMe SSD, Windows 10 Pro 64-bit","Rs. 33,000"
"Asus Intel Celeron E410KA-CL464 N4500 Processor 4GB RAM 64GB + 256 GB SSD 14.0-inch, FHD (1920 x 1080)","Rs. 31,000"
"Refub* DELL LATITUDE 5490 Intel Windows 10 Pro (Core i5 8th GEN/ 8GB RAM/ 256GB SSD/ WEBCAM/ 14 ""/ WIN-10 PR0)","Rs. 28,999"
"Dell Inspiron 3520 15.6"" FHD Laptop, Intel Core i7-1255U Processor, 32GB RAM, 1TB SSD","Rs. 63,500"
"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop","Rs. 54,999"
"Dell Inspiron 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black","Rs. 66,000"
Hp 14 Intel Core i3 13th Gen | 8GB RAM |256GB SSD |14″ HD Screen | Windows 11 Home (Moonlight Blue) Laptop,"Rs. 51,990"
Asus e410ka | Intel Celeron N4500 Processor | 4GB RAM | 64GB + 256 GB SSD | Intel UHD Graphics | 14″ FHD Display | Magic Numpad,"Rs. 31,499"
